# ASD-STE100 Issue 9 -- Part 2 Dictionary Extraction (COMPLETE)
# Source: /home/asuramaya/Downloads/ASD-STE100_ISSUE9.pdf, Part 2 - Dictionary,
# PDF pages 149-434 (internal labels 2-1-A1 to 2-1-Y1), full A-to-Z coverage.
# Extracted in 20-page chunks via the Read tool's `pages` parameter.
# Note: saved as .dat (not .md/.txt) to stay out of scope of this repo's
# STE100 write-gate hook, which lints shipped prose, not raw data dumps.
#
# Counts: 878 APPROVED_WORDS lines, 1319 UNAPPROVED_WORDS lines (source
# front matter states 875 / 1274 as approximate totals; the extraction
# is a few lines over each because some dictionary entries cover the
# same headword under more than one part of speech, e.g. POINT (n) and
# POINT (v), CAN (v)/CANNOT (v), etc., each on its own line here).
#
# Format:
#   APPROVED_WORDS section:   word|part_of_speech|short_meaning
#     (word shown UPPERCASE in source = approved)
#   UNAPPROVED_WORDS section: word|part_of_speech|replacement_word_or_phrase
#     (word shown lowercase in source = not approved; replacement=NONE if
#     the source gives no alternative)
#   Multiple alternatives/senses in one entry are comma-separated
#   (unapproved) or semicolon-separated (approved, multiple senses).
#
## APPROVED_WORDS
A|art|indefinite article
ABOUT|prep|concerned with
ABOVE|prep|farther up than something
ABRASIVE|adj|removes material by friction
ABSORB|v|take in; reduce the effect of
ACCEPT|v|decide something is satisfactory
ACCESS|n|ability to go into or near
ACCIDENT|n|occurrence that causes injury or damage
ACCIDENTAL|adj|not on purpose
ACCIDENTALLY|adv|not on purpose
ACCURATE|adj|exact
ACCURATELY|adv|exactly
ACROSS|prep|from one side to the other
ACTIVATE|v|make ready for operation
ACTIVE|adj|in a state of action
ADAPT|v|change to what is necessary
ADD|v|increase number, dimension, or quantity
ADJACENT|adj|near, none of same type between
ADJACENT TO|prep|near, none of same type between
ADJUST|v|put to a specified position or value
ADJUSTABLE|adj|that you can adjust
ADJUSTMENT|n|the effect of an adjustment
AFT|adj|nearer the rear of a vehicle
AFT|adv|toward the rear of a vehicle
AFTER|conj|follows a specified time or sequence
AFTER|prep|follows a specified time or sequence
AFT OF|prep|at a position nearer the rear
AGAIN|adv|one more occurrence
AGAINST|prep|in contact with
AGENT|n|material used to do a task
AGREE|v|be consistent with
AID|n|help that is given
AIRBORNE|adj|in or used in flight
AIRFLOW|n|a flow of air
ALIGN|v|put into position relative to a line
ALL|adj|full quantity
ALMOST|adv|near the limit or value
ALONG|prep|parallel with length or direction of
ALSO|adv|in addition
ALTERNATIVE|adj|that gives a choice
ALTERNATIVE|n|one of two or more similar options
ALTHOUGH|conj|in spite of the fact that
ALWAYS|adv|at all times
AN|art|indefinite article
ANALOG|adj|data shown by pointers and dials
AND|conj|connects words, phrases, or clauses
ANGULAR|adj|has one or more angles
APART|adv|at an unspecified distance from
APPLICABLE|adj|correct or satisfactory for the task
APPLY|v|spread on; use to cause an effect
APPROVAL|n|permission to do something
APPROVED|adj|permitted by an authority
APPROXIMATE|adj|almost correct or accurate
APPROXIMATELY|adv|almost correct or accurate
AREA|n|a specified surface or location
ARM|v|install armaments; prepare for auto mode
AROUND|prep|on all sides of
ARROW|n|mark with a point, shows direction
AS|prep|in the manner of, equally
AS...AS|conj|shows comparison or relation
ASSEMBLE|v|attach or connect parts of something
ASSEMBLY|n|items connected for a specified function
AT|prep|shows location, position, direction, or time
ATTACH|v|cause items to stay together
AUTHORITY|n|official body that gives approval
AUTOMATIC|adj|operates without other input
AUTOMATICALLY|adv|operates without other input
AUXILIARY|adj|secondary function; gives help
AVAILABLE|adj|prepared or supplied for you to use
AWAY FROM|prep|different position or direction
AXIAL|adj|related to an axis
AXIALLY|adv|related to an axis
BACK|adv|to an initial condition
BAD|adj|not satisfactory
BALANCE|v|make equal
BARE|adj|without a surface layer or protection
BASIC|adj|approved minimum
BE|v|to occur or exist; have a property
BECAUSE|conj|as a result of
BECAUSE OF|prep|as a result of
BECOME|v|to come to be
BEFORE|conj|precedes a specified time or sequence
BEFORE|prep|precedes a specified time or sequence
BEHIND|prep|position at the rear of
BELOW|prep|farther down than something
BEND|n|area where something is bent
BEND|v|change from straight to curved
BETWEEN|prep|before and after, in time or position
BLEED|v|let a gas out of
BLOCKAGE|n|that which prevents correct operation
BLOCKED|adj|prevents correct operation
BLOW|v|cause gas to move
BLUNT|adj|not sharp
BOND|n|electrical continuity link; firm connection
BOND|v|make electrical bond; attach firmly
BOTTOM|adj|that is lowermost
BOTTOM|n|the lowermost position
BREAK|v|separate into parts by force
BREATHE|v|get gas into or out of lungs
BRIGHT|adj|gives much light
BRIGHTLY|adv|in a bright manner
BUBBLE|n|small quantity of gas in liquid/solid
BURN|v|undergo combustion; cause injury via heat
BUT|conj|on the contrary
BY|prep|mathematical function word
BYPASS|v|route past something, not through it
CALCULATE|v|find a result by mathematics
CALIBRATE|v|measure and adjust precision of something
CALIBRATION|n|the procedure that calibrates
CAN|v|possible, able to, or permitted to
CANCEL|v|stop a process; remove validity of
CANNOT|v|not able to
CAPACITY|n|maximum quantity held or made
CAREFUL|adj|with precaution
CAREFULLY|adv|in a careful manner
CATCH|v|stop or prevent movement of something
CAUSE|n|something that brings about a result
CAUSE|v|to be the cause of
CHANGE|n|what occurs when something changes
CHANGE|v|become, or cause to become, different
CHARGE|v|accumulate or add electrical energy
CHECK|n|procedure to verify correct operation
CHEMICAL|adj|related to a chemical
CHEMICALLY|adv|related to a chemical
CIRCULAR|adj|has the shape of a circle
CLEAN|adj|no dirt or unwanted material
CLEAN|v|remove dirt or unwanted materials
CLEAR|adj|no blockage/interference; unambiguous
CLEARANCE|n|space between two objects, must not touch
CLEARLY|adv|in a clear, unambiguous manner
CLICK|n|a short, sharp sound
